functionType,L2 DCM,L1 DCM,MatrixSize,BlockSize,Real Time,Threads
OnMultLineParallel2,144039693,1162497784,1800,N/A,33.179943,4
OnMultLineParallel2,46963429,976815999,1800,N/A,35.808071,4
OnMultLineParallel2,20226349,922558320,1800,N/A,35.790153,4
OnMultLineParallel2,142725513,1156214868,1800,N/A,31.290760,4
OnMultLineParallel2,403390822,2886169978,2200,N/A,72.486740,4
OnMultLineParallel2,593990379,2982610197,2200,N/A,67.991341,4
OnMultLineParallel2,26708222,2443594869,2200,N/A,63.130539,4
OnMultLineParallel2,107102495,2552072997,2200,N/A,58.076815,4
OnMultLineParallel2,166688791,2591103560,2200,N/A,61.072099,4
OnMultLineParallel2,204053006,4586922115,2600,N/A,100.270201,4
OnMultLineParallel2,330020097,4726498180,2600,N/A,97.771219,4
OnMultLineParallel2,106173923,4534881188,2600,N/A,106.946533,4
OnMultLineParallel2,177322583,4619453021,2600,N/A,95.689727,4
OnMultLineParallel2,330479909,4655752635,2600,N/A,105.668670,4
OnMultLineParallel2,770374840,7248868268,3000,N/A,186.763201,4
OnMultLineParallel2,217308639,7056009986,3000,N/A,186.769941,4
OnMultLineParallel2,79336663,6937305139,3000,N/A,173.764877,4
OnMultLineParallel2,176049860,6979831418,3000,N/A,171.340309,4
OnMultLineParallel2,62504669,6919562419,3000,N/A,158.789369,4
